,,accuracy mean,accuracy std,precision-micro mean,precision-micro std,precision-macro mean,precision-macro std,precision-weighted mean,precision-weighted std,recall-micro mean,recall-micro std,recall-macro mean,recall-macro std,recall-weighted mean,recall-weighted std,f1-micro mean,f1-micro std,f1-macro mean,f1-macro std,f1-weighted mean,f1-weighted std
AdaBoostOnes,liver_disorders,0.63478261,0.00000000,0.63478261,0.00000000,0.69548750,0.00000000,0.70475209,0.00000000,0.63478261,0.00000000,0.63711655,0.00000000,0.63478261,0.00000000,0.63478261,0.00000000,0.59991348,0.00000000,0.60614473,0.00000000
AdaBoostOnes,sonar,0.79423076,0.00706584,0.79423076,0.00706584,0.80710423,0.00698145,0.80580378,0.00686809,0.79423076,0.00706584,0.78985101,0.00693156,0.79423076,0.00706584,0.79423076,0.00706584,0.78921872,0.00703396,0.79095840,0.00704407
AdaBoostOnes,kdd_synthetic_control,0.73333335,0.00000000,0.73333335,0.00000000,0.79770225,0.00000000,0.79770225,0.00000000,0.73333335,0.00000000,0.73333335,0.00000000,0.73333335,0.00000000,0.73333335,0.00000000,0.68860137,0.00000000,0.68860137,0.00000000
AdaBoostOnes,segment,0.77748919,0.00000000,0.77748919,0.00000000,0.76863098,0.00000000,0.76863098,0.00000000,0.77748919,0.00000000,0.77748919,0.00000000,0.77748919,0.00000000,0.77748919,0.00000000,0.73520333,0.00000000,0.73520333,0.00000000
AdaBoostOnes,semeion,0.96672946,0.00000000,0.96672946,0.00000000,0.91107380,0.00000000,0.96726841,0.00000000,0.96672946,0.00000000,0.90538579,0.00000000,0.96672946,0.00000000,0.96672946,0.00000000,0.90709299,0.00000000,0.96675020,0.00000000
AdaBoostOnes,iris,0.94000000,0.00000000,0.94000000,0.00000000,0.94288111,0.00000000,0.94288111,0.00000000,0.94000000,0.00000000,0.94000000,0.00000000,0.94000000,0.00000000,0.94000000,0.00000000,0.93980306,0.00000000,0.93980306,0.00000000
AdaBoostOnes,ecoli,0.72023809,0.00000000,0.72023809,0.00000000,0.41454083,0.00000000,0.64617985,0.00000000,0.72023809,0.00000000,0.41907874,0.00000000,0.72023809,0.00000000,0.72023809,0.00000000,0.39194098,0.00000000,0.66106176,0.00000000
AdaBoostOnes,glass,0.56074768,0.00000000,0.56074768,0.00000000,0.45577121,0.00000000,0.53637820,0.00000000,0.56074768,0.00000000,0.42483419,0.00000000,0.56074768,0.00000000,0.56074768,0.00000000,0.40742236,0.00000000,0.50156683,0.00000000
AdaBoostClassifier,winequality_white,0.47264189,0.00000000,0.47264189,0.00000000,0.23569079,0.00000000,0.44814563,0.00000000,0.47264189,0.00000000,0.21079852,0.00000000,0.47264189,0.00000000,0.47264189,0.00000000,0.20362721,0.00000000,0.44520804,0.00000000
AdaBoostClassifier,ionosphere,0.91737890,0.00000000,0.91737890,0.00000000,0.93008065,0.00000000,0.92126739,0.00000000,0.91737890,0.00000000,0.89190477,0.00000000,0.91737890,0.00000000,0.91737890,0.00000000,0.90616131,0.00000000,0.91530669,0.00000000
AdaBoostClassifier,hayes_roth_full,0.59375000,0.00000000,0.59375000,0.00000000,0.49871609,0.00000000,0.39222383,0.00000000,0.59375000,0.00000000,0.66666669,0.00000000,0.59375000,0.00000000,0.59375000,0.00000000,0.55440539,0.00000000,0.45904949,0.00000000
AdaBoostClassifier,vehicle,0.62056738,0.00000000,0.62056738,0.00000000,0.62184232,0.00000000,0.62009078,0.00000000,0.62056738,0.00000000,0.62462598,0.00000000,0.62056738,0.00000000,0.62056738,0.00000000,0.60985005,0.00000000,0.60694569,0.00000000
